lag_hours,autocorrelation
1,0.9251544756095265
2,0.8207029688874335
3,0.7166154462694113
4,0.6169247214199075
6,0.4477333798921689
12,0.2626442494855512
24,0.6339954331272879
48,0.5501577142743489
72,0.5211903335632995
168,0.5246337218426756
