model,horizon,split,n_observations,mae,rmse,n_negative_predictions
lightgbm,1,train,25516,5.743260582951647,7.796024401694604,3
lightgbm,1,validation,8437,6.2592264657850505,8.587350487275076,0
lightgbm,4,train,25513,10.414489736864692,13.288553142781264,4
lightgbm,4,validation,8437,11.576668549651759,14.728904846033148,0
lightgbm,12,train,25505,11.658791973804242,14.636220327045926,0
lightgbm,12,validation,8437,13.593693756203315,17.018768062285254,0
lightgbm,24,train,25493,12.173210154566018,15.228146159623126,0
lightgbm,24,validation,8437,14.021264037973026,17.552025747364755,0
