window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,mean_mae_supervised
0,2024-01-18,2024-01-24 23:00:00,168,29.327380952380953,57.0,74.0,10.98022352439528
1,2024-01-19,2024-01-25 23:00:00,168,24.261904761904763,51.30000000000001,74.0,9.820913609363469
2,2024-01-20,2024-01-26 23:00:00,168,20.202380952380953,50.30000000000001,74.0,8.954592192351118
3,2024-01-21,2024-01-27 23:00:00,168,16.05952380952381,41.30000000000001,63.0,8.327366046081886
4,2024-01-22,2024-01-28 23:00:00,168,16.261904761904763,43.900000000000034,70.0,9.674313162487065
5,2024-01-23,2024-01-29 23:00:00,168,18.404761904761905,54.30000000000001,70.0,10.25148497168102
6,2024-01-24,2024-01-30 23:00:00,168,22.672619047619047,58.0,74.0,10.371279212870839
7,2024-02-02,2024-02-08 23:00:00,168,21.761904761904763,50.30000000000001,66.0,11.04741577878064
8,2024-02-03,2024-02-09 23:00:00,168,25.541666666666668,52.0,66.0,11.04726285340645
9,2024-02-04,2024-02-10 23:00:00,168,29.458333333333332,54.30000000000001,67.0,10.738401051469873
10,2024-02-05,2024-02-11 23:00:00,168,35.732142857142854,62.0,67.0,10.085051537722268
11,2024-02-06,2024-02-12 23:00:00,168,39.82142857142857,62.0,67.0,9.887234240609915
12,2024-02-07,2024-02-13 23:00:00,168,40.773809523809526,62.0,67.0,9.44474421790886
13,2024-02-08,2024-02-14 23:00:00,168,38.958333333333336,62.0,67.0,10.125586013322431
14,2024-02-17,2024-02-23 23:00:00,168,40.63690476190476,71.30000000000001,84.0,14.977934278911432
15,2024-02-18,2024-02-24 23:00:00,168,44.267857142857146,72.0,84.0,14.419853534449839
16,2024-02-19,2024-02-25 23:00:00,168,44.81547619047619,72.0,83.0,13.766709343179711
17,2024-02-20,2024-02-26 23:00:00,168,47.232142857142854,72.0,83.0,13.120932211119527
18,2024-02-21,2024-02-27 23:00:00,168,48.160714285714285,71.30000000000001,83.0,12.354632046914654
19,2024-02-22,2024-02-28 23:00:00,168,46.61904761904762,68.30000000000001,83.0,11.761111761605774
20,2024-03-02,2024-03-08 23:00:00,168,55.142857142857146,77.0,86.0,12.04278866908466
21,2024-03-03,2024-03-09 23:00:00,168,54.75595238095238,75.0,86.0,12.347130262555881
22,2024-03-04,2024-03-10 23:00:00,168,53.017857142857146,74.30000000000001,86.0,12.130365946563874
