horizon,selected_method,n_common_samples,empirical_coverage,mean_width,mean_interval_score,coverage_error
1,CatBoost + CQR,8265,0.8016938898971567,19.75918528445641,29.74014381906219,0.0016938898971566863
4,CatBoost + CQR,8265,0.7898366606170599,35.90222955022643,49.88577317776861,-0.010163339382940118
12,CatBoost + CQR,8265,0.7958862673926195,42.20673945803715,57.559336952247286,-0.004113732607380571
24,CatBoost + CQR,8265,0.779189352692075,43.0097291339108,59.23702994999188,-0.020810647307925034
