n_calibration,mean_abs_residual_calibration,median_abs_residual_calibration,buffer_size_after_warmup,model,model_display,horizon,n_oob_residuals_initial,initial_q_hat_oob,q_hat_after_warmup
8607.0,6.308037631120634,4.7268951204533,25516.0,lightgbm,LightGBM,1,25516,9.525329746248154,9.876621172674433
8607.0,11.515130374130525,9.485730614706895,25508.0,lightgbm,LightGBM,4,25508,17.754525823254415,18.16626736567258
8607.0,13.40140276446681,11.330068572207672,25505.0,lightgbm,LightGBM,12,25505,20.549352032533392,21.06104782610145
8607.0,13.827992537275819,11.987887987946294,25493.0,lightgbm,LightGBM,24,25493,21.173269358098697,21.55030181663588
8607.0,6.310261127005838,4.718616058898039,25514.0,catboost,CatBoost,1,25514,9.515945587095175,9.857117013717144
8607.0,11.435002490118585,9.36995689081435,25512.0,catboost,CatBoost,4,25512,17.568362884091623,17.941501494562928
8607.0,13.381041409513058,11.302083373489474,25501.0,catboost,CatBoost,12,25501,20.55417907241344,21.00728917196701
8607.0,13.682398961863589,11.84460263905223,25489.0,catboost,CatBoost,24,25489,21.26315193672675,21.5556428539263
