year,hourly_records,observed_o3_values,missing_o3_percentage,mean_o3,median_o3,std_o3,p05_o3,p95_o3,max_o3
2020,8784,8667,1.331967213114754,40.11341871466482,40.0,25.18550953042938,1.0,82.0,115.0
2021,8760,8478,3.219178082191781,42.91578202406228,45.0,23.078490247142092,3.0,78.0,118.0
2022,8760,8372,4.429223744292238,42.470735785953174,43.0,26.297803388478673,2.0,85.0,141.0
2023,8760,8607,1.7465753424657535,45.503311258278146,47.0,23.782932829748546,2.0,82.0,125.0
2024,8784,8437,3.9503642987249545,48.54806210738414,51.0,24.99074214742572,2.0,87.0,120.0
2025,8760,8381,4.32648401826484,54.94857415582866,56.0,27.985848869179232,5.0,99.0,167.0
