day_of_week,mean_o3,median_o3,std_o3,count
Lunes,42.67628900383781,44.0,24.344469687872706,5993
Martes,41.916502946954814,43.0,23.971851214440647,6108
Miércoles,42.017280730355395,43.0,24.6389092041501,6134
Jueves,42.26618587116866,44.0,25.096200855923513,6101
Viernes,42.22519710906702,44.0,25.07918216002242,6088
Sábado,47.58696364231903,49.0,25.156741475305406,6106
Domingo,48.63157022052727,50.0,24.662038523158323,6031
