,count,mean,median,std,q25,q75,p95,max
Lunes,5993,42.67628900383781,44.0,24.344469687872706,24.0,60.0,81.0,118.0
Martes,6108,41.916502946954814,43.0,23.971851214440647,24.0,60.0,79.0,128.0
Miércoles,6134,42.017280730355395,43.0,24.6389092041501,22.0,61.0,81.0,125.0
Jueves,6101,42.26618587116866,44.0,25.096200855923513,22.0,62.0,82.0,114.0
Viernes,6088,42.22519710906702,44.0,25.07918216002242,22.0,61.0,83.0,116.0
Sábado,6106,47.58696364231903,49.0,25.156741475305406,31.0,65.0,88.0,141.0
Domingo,6031,48.63157022052727,50.0,24.662038523158323,33.0,66.0,86.5,124.0
