model,horizon,split,n_observations,mae,rmse,n_negative_predictions
catboost,1,train,25516,5.81525036018057,7.876100243030774,85
catboost,1,validation,8437,6.250636973322387,8.563161539767417,14
catboost,4,train,25513,10.350990562452415,13.173891862319119,95
catboost,4,validation,8437,11.52178440028081,14.622606878166726,15
catboost,12,train,25505,11.72869564901073,14.707931683288727,0
catboost,12,validation,8437,13.539521946256409,16.95203190357409,0
catboost,24,train,25493,12.916732995856048,16.143734341426008,0
catboost,24,validation,8437,13.99208379840113,17.44716896099326,0
