target_timestamp,y_true,baseline_y_pred,baseline_lower,baseline_upper,best_y_pred,best_lower,best_upper
2024-01-17 14:00:00,49.0,8.0,-19.0,35.0,24.49915453449769,8.588490741525519,41.81500409565869
2024-01-17 15:00:00,55.0,6.0,-21.0,33.0,21.683089965403948,6.3823143514934015,38.67645116916228
2024-01-17 16:00:00,41.0,1.0,-26.0,28.0,20.132158819493785,5.26460127451503,38.06300818296907
2024-01-17 17:00:00,30.0,1.0,-26.0,28.0,19.231712474755316,4.962397103100295,37.46873818468285
2024-01-17 18:00:00,42.0,1.0,-26.0,28.0,17.26623770689336,3.6559001296677405,35.918233373753495
2024-01-17 19:00:00,30.0,1.0,-26.0,28.0,12.762118658586893,1.526473906585438,35.318979566734015
2024-01-17 20:00:00,45.0,1.0,-26.0,28.0,12.139847325568223,1.2902898151115587,33.85870564360107
2024-01-17 21:00:00,45.0,1.0,-26.0,28.0,12.546670138639776,0.5123680175466108,33.320793596126805
2024-01-17 22:00:00,49.0,2.0,-25.0,29.0,12.71633291431186,0.4971498666343006,33.59451372028536
2024-01-17 23:00:00,49.0,2.0,-25.0,29.0,12.786167331324222,0.5566088621412515,34.97166134905683
2024-01-18 00:00:00,51.0,1.0,-26.0,28.0,13.259454369686754,0.6476924856635291,36.88280312179107
2024-01-18 01:00:00,61.0,1.0,-26.0,28.0,12.870219382231578,0.6574534606222313,37.521703914969464
2024-01-18 02:00:00,63.0,11.0,-16.0,38.0,14.287664123834304,0.11776211864181363,39.53565904513984
2024-01-18 03:00:00,57.0,37.0,10.0,64.0,21.751880117485726,0.8884869193426939,46.38359054712341
2024-01-18 04:00:00,46.0,26.0,-1.0,53.0,22.573009706631495,1.0206290316669642,47.866249395776535
2024-01-18 05:00:00,28.0,14.0,-13.0,41.0,17.659297058624293,0.06927151520989483,40.83456785693119
2024-01-18 06:00:00,23.0,6.0,-21.0,33.0,12.733698379929553,0.039194826233657665,34.433869368715136
2024-01-18 07:00:00,18.0,1.0,-26.0,28.0,8.027419736262871,0.23192716855400342,27.04129282400075
2024-01-18 08:00:00,13.0,1.0,-26.0,28.0,8.533279014396193,0.40772265569405475,24.76511480411685
2024-01-18 09:00:00,22.0,3.0,-24.0,30.0,10.38204144259334,1.1663521527188192,25.910447382151318
