year,records,missing_values,missing_percentage,mean_o3,median_o3,std_o3,min_o3,max_o3
2020,8784,117,1.331967213114754,40.11341871466482,40.0,25.18550953042938,1.0,115.0
2021,8760,282,3.219178082191781,42.91578202406228,45.0,23.078490247142092,1.0,118.0
2022,8760,388,4.429223744292238,42.470735785953174,43.0,26.297803388478673,1.0,141.0
2023,8760,153,1.7465753424657535,45.503311258278146,47.0,23.782932829748546,1.0,125.0
2024,8784,347,3.9503642987249545,48.54806210738414,51.0,24.99074214742572,1.0,120.0
2025,8760,379,4.32648401826484,54.94857415582866,56.0,27.985848869179232,1.0,167.0
