model,horizon,config_id,fold,train_start,train_end,internal_validation_start,internal_validation_end,n_train,n_internal_validation,best_iteration,mae,rmse
lightgbm,12,small_leaves,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,367,12.93172228734376,16.271573436755038
lightgbm,12,small_leaves,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,242,10.86183616783542,14.043905527657534
lightgbm,12,small_leaves,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,241,14.890830812109499,18.32209738312459
lightgbm,12,larger_leaves,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,58,13.068096864896003,16.368983217673776
lightgbm,12,larger_leaves,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,76,10.88630836516469,14.063712522354024
lightgbm,12,larger_leaves,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,88,14.72584784903049,18.305717060438035
lightgbm,24,base,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,34,13.972815690548872,17.26867793794861
lightgbm,24,base,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,105,11.392866976120745,14.646744468685162
lightgbm,24,base,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,98,15.571427330756736,18.97016540745958
lightgbm,24,regularized,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,46,13.886843980882949,17.178279480575405
lightgbm,24,regularized,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,213,11.287519716887008,14.470817445550976
lightgbm,24,regularized,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,96,15.424752372526092,18.853739212419118
lightgbm,24,small_leaves,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,112,13.724143571613936,17.20909832360585
lightgbm,24,small_leaves,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,194,11.426245713678219,14.66037751186316
lightgbm,24,small_leaves,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,280,15.419602352772714,18.816630872780436
lightgbm,24,larger_leaves,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,40,13.854425065415281,17.13499291603093
lightgbm,24,larger_leaves,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,223,11.266494226461862,14.498885634352526
lightgbm,24,larger_leaves,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,70,15.681495125950166,19.095055506508494
