model,horizon,config_id,fold,train_start,train_end,internal_validation_start,internal_validation_end,n_train,n_internal_validation,best_iteration,mae,rmse
catboost,12,shallow,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,297,10.904989427799999,14.01455407385036
catboost,12,shallow,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,347,14.75625740654385,18.12505704646383
catboost,12,deeper,1,2020-01-01 12:00:00,2020-12-31 11:00:00,2020-12-31 12:00:00,2021-03-31 11:00:00,8643,2060,304,12.945096555952667,16.269464294115078
catboost,12,deeper,2,2020-01-01 12:00:00,2021-06-29 11:00:00,2021-06-29 12:00:00,2021-09-27 11:00:00,12749,2109,405,10.742266004578372,13.90142121036401
catboost,12,deeper,3,2020-01-01 12:00:00,2021-12-26 11:00:00,2021-12-26 12:00:00,2022-03-26 11:00:00,17001,2152,322,14.722944245073144,18.150060272107766
catboost,24,base,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,52,13.778656704856914,17.16834879879365
catboost,24,base,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,207,11.338324650509747,14.538670831524165
catboost,24,base,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,105,15.3812183668665,18.64521758160113
catboost,24,regularized,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,110,13.709520078979994,17.220248753399
catboost,24,regularized,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,244,11.402526979401312,14.585332682958208
catboost,24,regularized,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,282,15.23735197034296,18.57930038962664
catboost,24,shallow,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,98,13.799106058171324,17.320727910958006
catboost,24,shallow,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,409,11.368895416794508,14.524046824176724
catboost,24,shallow,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,381,15.219189729993051,18.571391457480832
catboost,24,deeper,1,2020-01-02 00:00:00,2020-12-31 23:00:00,2021-01-01 00:00:00,2021-03-31 23:00:00,8643,2060,113,13.755602334855713,17.189100953875105
catboost,24,deeper,2,2020-01-02 00:00:00,2021-06-29 23:00:00,2021-06-30 00:00:00,2021-09-27 23:00:00,12749,2109,217,11.29087609063468,14.489038918248092
catboost,24,deeper,3,2020-01-02 00:00:00,2021-12-26 23:00:00,2021-12-27 00:00:00,2022-03-26 23:00:00,17001,2152,159,15.44203491087419,18.689879344278367
