model,model_display,method,variant,horizon,alpha,nominal_coverage,n_validation,empirical_coverage,coverage_error,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_pct,miss_upper_pct,mean_q_hat
catboost,CatBoost,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8025364466042432,0.0025364466042431255,19.732326091813473,19.37022325401638,29.62614664803423,20.852740963242724,8.640512030342538,11.105843309233139,0.5952297176076371
lightgbm,LightGBM,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8006400379281735,0.0006400379281734647,19.67934019417179,18.864661737526077,29.82660926757728,20.477096670913355,8.45087116273557,11.485125044447079,0.42941874086603704
linear_regression,Regresión lineal,cqr_mapie,cqr_calibrated_interval,1,0.2,0.8,8437,0.8041958041958042,0.00419580419580412,21.550373727023057,21.14779301481839,32.38695318196103,22.179708981061406,9.031646319781913,10.548773260637667,0.3251181764995437
catboost,CatBoost,cqr_mapie,cqr_calibrated_interval,4,0.2,0.8,8437,0.7899727391252815,-0.010027260874718502,35.82087436095055,35.09516453054963,49.702376325745014,37.478833666701824,8.332345620481215,12.670380466990636,1.396580399114434
lightgbm,LightGBM,cqr_mapie,cqr_calibrated_interval,4,0.2,0.8,8437,0.7960175417802536,-0.00398245821974641,37.04484542159706,36.38590831391955,50.62740201116502,38.821322803037724,7.810833234562048,12.587412587412588,1.0808004116896723
linear_regression,Regresión lineal,cqr_mapie,cqr_calibrated_interval,4,0.2,0.8,8437,0.7980324759985777,-0.001967524001422305,40.958100654115576,40.4671824384136,54.959927341371085,42.31707432004717,8.87756311485125,11.31918928529098,0.22516229292203602
catboost,CatBoost,cqr_mapie,cqr_calibrated_interval,12,0.2,0.8,8437,0.7950693374422187,-0.004930662557781296,41.97652578832834,40.998103852959375,57.32515823950541,43.7279918486119,7.004859547232428,13.488206708545691,2.285999330362315
lightgbm,LightGBM,cqr_mapie,cqr_calibrated_interval,12,0.2,0.8,8437,0.792461775512623,-0.007538224487377065,42.90929734604037,41.90217122136724,58.2119292809914,44.930170531914456,6.6966931373711045,14.057129311366602,1.533196448068406
linear_regression,Regresión lineal,cqr_mapie,cqr_calibrated_interval,12,0.2,0.8,8437,0.7894986369562641,-0.010501363043735945,45.0218733228408,44.876846945467534,60.40126178738712,47.108302531391274,7.905653668365533,13.144482636008059,0.014376588031282722
catboost,CatBoost,cqr_mapie,cqr_calibrated_interval,24,0.2,0.8,8437,0.7774090316463198,-0.02259096835368024,42.95488980309016,41.753227187805194,59.236388382560584,44.39047152333432,7.147090197937656,15.112006637430367,0.639273083469229
lightgbm,LightGBM,cqr_mapie,cqr_calibrated_interval,24,0.2,0.8,8437,0.7833353087590376,-0.01666469124096248,43.715772524793834,42.725848085821525,59.82640534177566,45.73247667203116,6.51890482398957,15.147564300106673,1.301973855983121
linear_regression,Regresión lineal,cqr_mapie,cqr_calibrated_interval,24,0.2,0.8,8437,0.7866540239421596,-0.013345976057840492,45.89508337205781,45.45983642197213,61.7118326702067,47.947505950199144,7.490814270475288,13.84378333530876,0.168547287846609
