model,model_display,method,variant,horizon,alpha,nominal_coverage,n_validation,empirical_coverage,coverage_error,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_pct,miss_upper_pct,mean_q_hat,median_q_hat,min_q_hat,max_q_hat
catboost,CatBoost,enbpi,sequential_enbpi,1,0.2,0.8,8437,0.8036031764845324,0.0036031764845323444,19.963032800953545,19.93331788276241,31.18732552368939,20.016770023487787,8.9605309944293,10.679151357117458,9.981516400476773,9.966658941381205,9.857117013717144,10.12270270819522
lightgbm,LightGBM,enbpi,sequential_enbpi,1,0.2,0.8,8437,0.805144008533839,0.005144008533839006,19.97835026898232,19.94630167851389,31.308633329521268,20.028083614807286,9.102761645134526,10.38283750148157,9.98917513449116,9.973150839256945,9.876621172674433,10.133791066577764
catboost,CatBoost,enbpi,sequential_enbpi,4,0.2,0.8,8437,0.7950693374422187,-0.004930662557781296,36.530346495342336,36.51584118532534,51.762020992801226,36.6765857433852,8.628659476117104,11.864406779661017,18.265173247671168,18.25792059266267,17.941501494562928,18.583420312688492
lightgbm,LightGBM,enbpi,sequential_enbpi,4,0.2,0.8,8437,0.7956619651534905,-0.00433803484650952,37.041119833317374,37.05621025600612,52.269256610743014,37.233486327732734,8.794595235273201,11.639208249377742,18.520559916658687,18.528105128003055,18.16533274277083,18.83448726311838
catboost,CatBoost,enbpi,sequential_enbpi,12,0.2,0.8,8437,0.8004029868436648,0.00040298684366479876,42.510109696482374,42.44748064032518,59.42704631625744,42.62594863584419,7.929358776816405,12.030342538817115,21.255054848241187,21.223740320162594,20.976025113711636,21.576980129271618
lightgbm,LightGBM,enbpi,sequential_enbpi,12,0.2,0.8,8437,0.7976768993718146,-0.002323100628185415,42.69498609691766,42.62614626945771,59.56885503086127,42.835808887214796,8.036031764845324,12.196278297973214,21.34749304845883,21.31307313472886,21.038013002547576,21.686429433868447
catboost,CatBoost,enbpi,sequential_enbpi,24,0.2,0.8,8437,0.7932914543084034,-0.0067085456915966235,43.886961793808304,43.891662469602366,60.76986337185062,44.18053607647392,7.597487258504208,13.073367310655446,21.943480896904152,21.945831234801183,21.53206672615142,22.339687665413464
lightgbm,LightGBM,enbpi,sequential_enbpi,24,0.2,0.8,8437,0.7945952352732014,-0.005404764726798628,43.86349015012346,43.85415040868362,60.99803982246875,44.105152833028306,7.467109162024416,13.073367310655446,21.93174507506173,21.92707520434181,21.53521747147677,22.28996404243695
