model,horizon,split,n_observations,mae,rmse,n_negative_predictions
linear_regression,1,train,25516,6.437366822790411,8.726686246274106,61
linear_regression,1,validation,8437,6.624477860265058,9.043443087830898,20
linear_regression,4,train,25513,12.248207423716261,15.585503964833656,114
linear_regression,4,validation,8437,12.628280563276094,15.950133743207497,34
linear_regression,12,train,25505,13.64601045772183,17.18721827499158,19
linear_regression,12,validation,8437,14.127141058562307,17.649996217075753,6
linear_regression,24,train,25493,13.80756697117921,17.346620773470903,0
linear_regression,24,validation,8437,14.525939692925023,18.052266377598198,0
