window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,central_mae,prelim_coverage,prelim_mean_width,prelim_mean_interval_score,calibrated_coverage,calibrated_mean_width,calibrated_mean_interval_score,passes_high_o3_filter,distance_to_target_interval_score,coverage_abs_error
0,2024-01-18,2024-01-24 23:00:00,168,29.327380952380953,57.0,74.0,10.089598453131881,0.7599206349206349,31.22793466235376,42.7971961968896,0.8055555555555556,32.97144423245092,42.64278708703534,False,6.320373459823351,0.005555555555555536
1,2024-01-19,2024-01-25 23:00:00,168,24.261904761904763,51.30000000000001,74.0,8.465144476179033,0.7916666666666666,29.657370664550477,37.01364327724434,0.8452380952380952,31.400880234647644,37.220975101310785,False,11.742185445547904,0.04523809523809519
2,2024-01-20,2024-01-26 23:00:00,168,20.202380952380953,50.30000000000001,74.0,7.410664399465093,0.7956349206349206,27.724119975762793,33.007369257943225,0.8630952380952381,29.467629545859957,33.35213061813157,False,15.61102992872712,0.0630952380952381
3,2024-01-21,2024-01-27 23:00:00,168,16.05952380952381,41.30000000000001,63.0,6.63326575383561,0.7956349206349206,26.318767900032235,29.585056313603364,0.8829365079365079,28.0622774701294,30.127425295834094,False,18.835735251024595,0.08293650793650786
4,2024-01-22,2024-01-28 23:00:00,168,16.261904761904763,43.900000000000034,70.0,7.661404778117299,0.7380952380952381,25.677438500469346,32.89845439973718,0.8373015873015873,27.420948070566514,32.94036518470856,False,16.022795362150127,0.03730158730158728
5,2024-01-23,2024-01-29 23:00:00,168,18.404761904761905,54.30000000000001,70.0,7.959535761480768,0.7420634920634921,25.60646676855438,33.787027693966536,0.8432539682539683,27.349976338651544,33.89870514653271,False,15.064455400325976,0.04325396825396821
6,2024-01-24,2024-01-30 23:00:00,168,22.672619047619047,58.0,74.0,8.044797355678135,0.746031746031746,26.022142678287516,35.47039601635316,0.8273809523809523,27.76565224838468,35.55348852012272,False,13.409672026735969,0.027380952380952284
7,2024-02-02,2024-02-08 23:00:00,168,21.761904761904763,50.30000000000001,66.0,9.437556055143412,0.7341269841269841,31.195766128600816,37.60818060612375,0.8373015873015873,32.939275698697976,37.67197167544153,False,11.291188871417155,0.03730158730158728
8,2024-02-03,2024-02-09 23:00:00,168,25.541666666666668,52.0,66.0,9.607915269295392,0.7599206349206349,31.877212263760438,38.306738923554995,0.8452380952380952,33.6207218338576,38.492408192166444,False,10.470752354692245,0.04523809523809519
9,2024-02-04,2024-02-10 23:00:00,168,29.458333333333332,54.30000000000001,67.0,9.511729435020687,0.7837301587301587,32.486743780121834,38.684145139553436,0.8472222222222222,34.230253350219,38.95172402703838,False,10.011436519820307,0.047222222222222165
10,2024-02-05,2024-02-11 23:00:00,168,35.732142857142854,62.0,67.0,8.729582342683914,0.8273809523809523,32.04256667921903,36.9095037683755,0.878968253968254,33.78607624931619,37.52905237041905,False,11.434108176439636,0.07896825396825391
11,2024-02-06,2024-02-12 23:00:00,168,39.82142857142857,62.0,67.0,8.660255840274976,0.8611111111111112,32.70632886497038,37.26680071307715,0.8908730158730159,34.44983843506754,37.998366611843004,False,10.964793935015685,0.09087301587301588
12,2024-02-07,2024-02-13 23:00:00,168,40.773809523809526,62.0,67.0,8.4430304192223,0.873015873015873,33.28879160895807,37.83238167856291,0.8928571428571429,35.03230117905524,38.63653891071874,False,10.326621636139947,0.09285714285714286
13,2024-02-08,2024-02-14 23:00:00,168,38.958333333333336,62.0,67.0,8.882455287775572,0.8293650793650794,32.7822465631264,38.18678499757861,0.8630952380952381,34.52575613322357,38.72995081472698,False,10.233209732131705,0.0630952380952381
14,2024-02-17,2024-02-23 23:00:00,168,40.63690476190476,71.30000000000001,84.0,13.907495438627548,0.6448412698412699,34.21531505036144,58.27346383867649,0.6845238095238095,35.95882462045861,57.1261758742587,False,8.16301532740001,0.11547619047619051
15,2024-02-18,2024-02-24 23:00:00,168,44.267857142857146,72.0,84.0,13.228073589626867,0.6666666666666666,33.73932385292544,56.141722026679474,0.7063492063492064,35.482833423022605,55.18936171497477,False,6.226201168116084,0.09365079365079365
16,2024-02-19,2024-02-25 23:00:00,168,44.81547619047619,72.0,83.0,12.552159605125949,0.6924603174603174,33.63265886249979,54.372223638681206,0.7301587301587301,35.376168432596955,53.6218002165178,False,4.6586396696591095,0.06984126984126993
17,2024-02-20,2024-02-26 23:00:00,168,47.232142857142854,72.0,83.0,11.936468771694331,0.7182539682539683,33.53161015070575,52.58943719236336,0.7440476190476191,35.27511972080293,52.011142241548384,False,3.047981694689696,0.055952380952380976
18,2024-02-21,2024-02-27 23:00:00,168,48.160714285714285,71.30000000000001,83.0,11.182297390401855,0.7698412698412699,33.706223778280204,50.20620335844609,0.7857142857142857,35.44973334837736,50.03312644895275,False,1.0699659020940615,0.014285714285714346
19,2024-02-22,2024-02-28 23:00:00,168,46.61904761904762,68.30000000000001,83.0,10.696375312879113,0.7936507936507936,33.66145736040913,47.83288560649397,0.8154761904761905,35.4049669305063,47.87327676225779,False,1.0898837846009002,0.015476190476190421
20,2024-03-02,2024-03-08 23:00:00,168,55.142857142857146,77.0,86.0,10.37900620335876,0.7777777777777778,33.19654152390751,49.56155937338994,0.7916666666666666,34.94005109400467,49.4162149501028,False,0.45305440324410995,0.008333333333333415
21,2024-03-03,2024-03-09 23:00:00,168,54.75595238095238,75.0,86.0,10.876337096206118,0.7738095238095238,33.62217908178427,50.456938143251286,0.7857142857142857,35.36568865188143,50.25283852853607,False,1.2896779816773787,0.014285714285714346
22,2024-03-04,2024-03-10 23:00:00,168,53.017857142857146,74.30000000000001,86.0,10.816200085001782,0.7837301587301587,33.946547198672974,49.71088072384835,0.8015873015873016,35.69005676877015,49.57711169085947,False,0.6139511440007794,0.0015873015873015817
