data_block,records,mae_baseline,median_abs_error,p90_abs_error,p95_abs_error,residual_mean,residual_std,rmse_baseline
Entrenamiento (2020-2022),25046,15.985107402379622,12.0,35.0,43.0,-0.069352391599457,21.07071110892764,21.070404600101487
Calibración (2023),8474,16.18338447014397,13.0,36.0,44.0,-0.021713476516403117,21.20280251523878,21.20156254678652
Validación (2024),8265,16.664004839685422,13.0,37.0,45.0,-0.0648517846339988,21.849068752552256,21.84784318104746
Test set (2025),8108,18.156388751850024,14.0,40.0,49.0,0.23359644795263937,23.818589824070152,23.818266466395762
