horizon,model,model_display,method,method_display,label,alpha,nominal_coverage,n_samples,empirical_coverage,coverage_error,coverage_abs_error,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_rate,miss_upper_rate,target_start,target_end,rank_interval_score
1,catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,0.2,0.8,8265,0.8016938898971567,0.0016938898971566863,0.0016938898971566863,19.75918528445641,19.398278886506695,29.74014381906219,20.904456644129226,0.08747731397459166,0.11082879612825167,2024-01-01,2024-12-31 23:00:00,1
4,catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,0.2,0.8,8265,0.7898366606170599,-0.010163339382940118,0.010163339382940118,35.90222955022643,35.158397479057754,49.88577317776861,37.56855736422958,0.08433151845130067,0.12583182093163944,2024-01-01,2024-12-31 23:00:00,1
12,catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,0.2,0.8,8265,0.7958862673926195,-0.004113732607380571,0.004113732607380571,42.20673945803715,41.204202274981995,57.559336952247286,43.88826136027221,0.07114337568058077,0.13297035692679976,2024-01-01,2024-12-31 23:00:00,1
24,catboost,CatBoost,cqr_mapie,CQR,CatBoost + CQR,0.2,0.8,8265,0.779189352692075,-0.020810647307925034,0.020810647307925034,43.0097291339108,41.77972877792841,59.23702994999188,44.41022162145334,0.07223230490018148,0.1485783424077435,2024-01-01,2024-12-31 23:00:00,1
