target_timestamp,y_true,y_pred_baseline_seasonal_naive,y_pred_linear_regression,y_pred_lightgbm,y_pred_catboost
2024-01-17 14:00:00,49.0,8.0,38.78354447453407,41.58251569058092,39.687496179082
2024-01-17 15:00:00,55.0,6.0,46.86963772135673,49.18128006846203,47.77377140546278
2024-01-17 16:00:00,41.0,1.0,48.95800007865983,50.91645108699589,49.049086487628635
2024-01-17 17:00:00,30.0,1.0,33.38449917330212,32.69012017743514,32.25329674532266
2024-01-17 18:00:00,42.0,1.0,25.022922337559127,20.334400091053634,21.933238958711655
2024-01-17 19:00:00,30.0,1.0,39.104486193387906,36.87990760717235,37.026669898525505
2024-01-17 20:00:00,45.0,1.0,24.15883754556916,24.81581265204472,24.138644373473944
2024-01-17 21:00:00,45.0,1.0,41.74762251961371,41.24878486689464,41.93501256424514
2024-01-17 22:00:00,49.0,2.0,38.26962380274813,39.82835048500612,41.02210433283627
2024-01-17 23:00:00,49.0,2.0,42.80936995148631,45.24524330815023,45.22604740546562
2024-01-18 00:00:00,51.0,1.0,40.73514252716173,46.097139308561964,45.58881356618322
2024-01-18 01:00:00,61.0,1.0,42.89651035492171,47.952924990956085,47.82994581460996
2024-01-18 02:00:00,63.0,11.0,53.03081043638211,56.22729971057926,57.267195691455385
2024-01-18 03:00:00,57.0,37.0,54.20834459273986,58.89438688144477,58.59462013349729
2024-01-18 04:00:00,46.0,26.0,47.81586912146303,52.68959878235122,53.162474853921964
2024-01-18 05:00:00,28.0,14.0,38.26528217735247,37.10616575718892,38.950333883805065
2024-01-18 06:00:00,23.0,6.0,22.757091805348427,18.424050843605112,19.033406254078482
2024-01-18 07:00:00,18.0,1.0,20.811777818479992,15.495652243938729,14.963500709165242
2024-01-18 08:00:00,13.0,1.0,19.34221996475701,15.665325620011773,15.663348811008849
2024-01-18 09:00:00,22.0,3.0,15.700922133722322,18.537239736527553,17.14399451526438
2024-01-18 10:00:00,46.0,6.0,26.793563143363464,29.200778610449145,26.992366247156586
2024-01-18 11:00:00,55.0,32.0,51.18580789744984,48.82053419813628,48.60475855950774
2024-01-18 12:00:00,58.0,35.0,56.748719144174046,56.88606026848844,56.47999130572174
2024-01-18 13:00:00,55.0,39.0,58.636946114231506,59.242260829174974,59.296621305284205
2024-01-18 14:00:00,61.0,49.0,53.41203468586052,56.710259223611665,56.392052250841125
2024-01-18 15:00:00,61.0,55.0,59.33131728991083,62.786975956644774,61.36561680958111
2024-01-18 16:00:00,53.0,41.0,56.322969622874666,57.47809556464322,56.722197846287074
2024-01-18 17:00:00,45.0,30.0,47.48704038338623,47.342145702886505,46.51469439902988
2024-01-18 18:00:00,28.0,42.0,41.75976178447214,38.22903317163508,39.45067801314302
2024-01-18 19:00:00,19.0,30.0,25.665569218436087,21.839736909059354,23.258703746299208
2024-01-18 20:00:00,16.0,45.0,20.594448464997814,18.872279279775718,18.6417924977853
2024-01-18 21:00:00,14.0,45.0,19.176346015346912,15.558380113711838,17.720428782653773
2024-01-18 22:00:00,34.0,49.0,17.266472927057215,14.421440762084673,15.345629036317689
2024-01-18 23:00:00,41.0,49.0,36.9296957998144,34.82576484846073,34.607062482182705
2024-01-19 00:00:00,40.0,51.0,39.27702250548932,41.95805550871636,41.42891831017494
2024-01-19 01:00:00,34.0,61.0,37.31995087125095,39.77579593495113,40.137178702883524
2024-01-19 02:00:00,31.0,63.0,31.407368322629825,32.45962872228787,33.98887329165902
2024-01-19 03:00:00,41.0,57.0,29.305133840123045,31.938499546020676,32.48728585433752
2024-01-19 04:00:00,52.0,46.0,38.824045841934314,42.08255905019783,41.390826530505706
2024-01-19 05:00:00,52.0,28.0,47.70604646987241,47.11640002029002,47.167788133047324
2024-01-19 06:00:00,52.0,23.0,46.178809495088075,42.81153393540154,42.91427849020122
2024-01-19 07:00:00,43.0,18.0,47.38944287791734,39.06292079422018,38.585505273831465
2024-01-19 08:00:00,32.0,13.0,38.81014602927038,36.379080535125695,36.72216533798718
2024-01-19 09:00:00,33.0,22.0,30.260511019998077,34.10394029099677,31.92182124287497
2024-01-19 10:00:00,34.0,46.0,34.793315460798134,38.452700995679734,35.81401885068565
2024-01-19 11:00:00,37.0,55.0,36.06197371073516,38.856552315184196,38.23370029446467
2024-01-19 12:00:00,35.0,58.0,39.14340426781573,41.30035867909947,40.18924120252559
2024-01-19 13:00:00,39.0,55.0,36.501996584478505,39.260362201136125,38.060040122675474
2024-01-19 14:00:00,28.0,61.0,41.79456239067054,43.917651036404735,42.28589622952568
2024-01-19 15:00:00,16.0,61.0,29.716778892825097,34.35696264372811,31.34480599379612
2024-01-19 16:00:00,20.0,53.0,18.487074384426744,12.972745381955933,15.890357330370332
2024-01-19 17:00:00,31.0,45.0,23.342082293380056,16.19044246696448,16.521761645948583
2024-01-19 18:00:00,35.0,28.0,33.06785881553682,26.13318812739599,26.884175757501463
2024-01-19 19:00:00,34.0,19.0,34.125394607478086,29.75131053022835,30.31977365618583
2024-01-19 20:00:00,11.0,16.0,32.77635148739486,32.166352853997495,31.17004437245202
2024-01-19 21:00:00,10.0,14.0,9.629705797802046,12.043248564374457,12.188630478094616
2024-01-19 22:00:00,27.0,34.0,13.648196893026533,13.682076069308275,13.100977208313207
2024-01-19 23:00:00,38.0,41.0,30.60495135127489,28.778908443816064,30.066782426064194
2024-01-20 00:00:00,51.0,40.0,39.50691110550032,37.92681962583681,38.69592905873045
2024-01-20 01:00:00,42.0,34.0,51.246013042186654,49.62754448332674,50.3694860014527
2024-01-20 02:00:00,32.0,31.0,39.273332078565716,40.74982124357136,40.994309812797646
2024-01-20 03:00:00,34.0,41.0,31.430411061757756,33.54822185966385,32.363416670396745
2024-01-20 04:00:00,18.0,52.0,35.22542125366451,35.50976323467097,34.743540411990935
2024-01-20 05:00:00,16.0,52.0,17.497190128872845,18.912245966100055,18.39083020932538
2024-01-20 06:00:00,17.0,52.0,18.477522637353506,14.690832873148242,16.64448307613019
2024-01-20 07:00:00,20.0,43.0,19.324166564918148,15.163175678970386,14.233286188742913
2024-01-20 08:00:00,14.0,32.0,22.404001236037924,18.885896175642177,19.790626476717268
2024-01-20 09:00:00,31.0,33.0,17.67143030494776,19.019661377216995,18.29255295103987
2024-01-20 10:00:00,45.0,34.0,37.70831142700616,36.17551203084482,37.14011945872542
2024-01-20 11:00:00,44.0,37.0,49.074111621386535,48.85538161495365,49.5329389810937
2024-01-20 12:00:00,51.0,35.0,45.25844083668752,47.22342755583623,46.808212185388776
2024-01-20 13:00:00,68.0,39.0,52.249686756006206,52.962942052602465,53.817420960309065
2024-01-20 14:00:00,71.0,28.0,68.15945904722878,69.44411041740615,69.10178911665686
2024-01-20 15:00:00,74.0,16.0,67.5153378981264,71.37782809883427,70.98674671366453
2024-01-20 16:00:00,72.0,20.0,69.4247608922782,70.5052027779533,69.07009757979596
2024-01-20 17:00:00,61.0,31.0,67.02547631788437,66.7954814033922,65.02882519592399
2024-01-20 18:00:00,43.0,35.0,55.12109142401266,54.86883192403557,53.72450429440932
2024-01-20 19:00:00,31.0,34.0,38.02551548067575,35.86066936519813,37.259101647175584
2024-01-20 20:00:00,29.0,11.0,28.19531854815512,27.608891907808903,27.946538259691295
2024-01-20 21:00:00,28.0,10.0,28.707577375808704,28.81293580933283,28.06635724913108
2024-01-20 22:00:00,21.0,27.0,28.509880337514097,29.016677722176322,27.343005196043475
2024-01-20 23:00:00,24.0,38.0,21.518185951288263,20.214301017386767,21.3725156266184
2024-01-21 00:00:00,16.0,51.0,26.070896721455753,25.70525709122532,26.322521630392693
2024-01-21 01:00:00,14.0,42.0,16.4020848134872,16.141797450456536,18.409118629179464
