length_group,number_of_runs,total_missing_hours,missing_hours_percentage
1 h,66,66,3.961584633853541
2 h,45,90,5.402160864345738
3 h,30,90,5.402160864345738
4-6 h,47,212,12.725090036014405
7-12 h,5,41,2.460984393757503
13-24 h,6,127,7.623049219687875
25-48 h,10,310,18.60744297719088
>48 h,9,730,43.81752701080432
